airline,origin,destination,departure_airport,arrival_airport,departure_date,departure_time,arrival_time,duration,price_usd,class,stops
Delta Air Lines,New York,London,JFK,LHR,2025-09-06,18:30,6:55,7h25m,550,Economy,0
British Airways,New York,London,JFK,LHR,2025-09-07,20:10,8:15,7h05m,600,Economy,0
United Airlines,New York,London,EWR,LHR,2025-09-08,22:45,9:00,7h15m,575,Premium Economy,0
American Airlines,New York,London,JFK,LHR,2025-09-09,17:15,5:35,7h20m,1200,Business,0
Lufthansa,New York,Frankfurt,JFK,FRA,2025-09-06,16:20,5:00,6h40m,520,Economy,0
Lufthansa,Frankfurt,Delhi,FRA,DEL,2025-09-07,13:30,1:05,7h05m,710,Economy,0
Air India,Delhi,London,DEL,LHR,2025-09-08,2:45,7:15,9h00m,640,Economy,0
Emirates,Delhi,Dubai,DEL,DXB,2025-09-09,9:10,11:30,3h20m,310,Economy,0
Emirates,Dubai,London,DXB,LHR,2025-09-10,14:25,18:55,7h30m,850,Economy,0
Qatar Airways,Delhi,Doha,DEL,DOH,2025-09-06,4:20,6:00,3h10m,295,Economy,0
Qatar Airways,Doha,London,DOH,LHR,2025-09-07,8:30,12:45,7h15m,720,Premium Economy,0
Air India,Delhi,New York,DEL,JFK,2025-09-08,0:15,7:30,15h45m,980,Economy,1
Etihad Airways,Delhi,Abu Dhabi,DEL,AUH,2025-09-09,12:45,15:00,3h15m,280,Economy,0
Etihad Airways,Abu Dhabi,London,AUH,LHR,2025-09-10,18:50,23:20,7h30m,770,Economy,0
American Airlines,New York,Chicago,JFK,ORD,2025-09-06,7:00,9:10,2h10m,180,Economy,0
United Airlines,Chicago,San Francisco,ORD,SFO,2025-09-07,11:20,13:45,4h25m,220,Economy,0
Delta Air Lines,San Francisco,Seattle,SFO,SEA,2025-09-08,15:30,17:10,1h40m,140,Economy,0
Alaska Airlines,Seattle,Los Angeles,SEA,LAX,2025-09-09,9:00,11:40,2h40m,165,Economy,0
Singapore Airlines,London,Singapore,LHR,SIN,2025-09-06,21:15,17:25,13h10m,1020,Economy,0
Singapore Airlines,London,Singapore,LHR,SIN,2025-09-07,21:15,17:25,13h10m,1850,Business,0
Qantas,London,Sydney,LHR,SYD,2025-09-08,12:45,21:30,21h45m,1200,Economy,1
Qantas,London,Sydney,LHR,SYD,2025-09-09,12:45,21:30,21h45m,2800,Business,1
IndiGo,Delhi,Mumbai,DEL,BOM,2025-09-06,5:40,7:45,2h05m,95,Economy,0
IndiGo,Mumbai,Bangalore,BOM,BLR,2025-09-07,14:25,16:15,1h50m,85,Economy,0
SpiceJet,Delhi,Bangalore,DEL,BLR,2025-09-08,20:15,22:45,2h30m,110,Economy,0
Vistara,Delhi,Chennai,DEL,MAA,2025-09-09,9:25,12:00,2h35m,120,Economy,0
Air France,Paris,New York,CDG,JFK,2025-09-06,10:00,12:40,8h40m,580,Economy,0
Air France,Paris,New York,CDG,JFK,2025-09-07,10:00,12:40,8h40m,1350,Business,0
KLM,Amsterdam,New York,AMS,JFK,2025-09-08,14:20,17:00,8h40m,590,Economy,0
KLM,Amsterdam,New York,AMS,JFK,2025-09-09,14:20,17:00,8h40m,1250,Premium Economy,0
